project,country,site,sample_date,latitude,longitude,hard_coral_cover
2001-2020_HSykes Data,Fiji,AA,2004-04-21,-17.97855,179.2251,27.5
2001-2020_HSykes Data,Fiji,AA,2002-02-21,-17.97855,179.2251,6.67
2001-2020_HSykes Data,Fiji,AA,2008-11-25,-17.97855,179.2251,31.67
2001-2020_HSykes Data,Fiji,AA,2011-04-19,-17.97855,179.2251,39.17
2001-2020_HSykes Data,Fiji,AA,2001-04-05,-17.97855,179.2251,14.17
2001-2020_HSykes Data,Fiji,AA,2007-10-31,-17.97855,179.2251,25.83
2001-2020_HSykes Data,Fiji,AA,2006-05-16,-17.97855,179.2251,18.33
2001-2020_HSykes Data,Fiji,E6,2006-06-22,-17.32933,178.5923,37.5
2001-2020_HSykes Data,Fiji,E6,2001-02-11,-17.32933,178.5923,27.5
2001-2020_HSykes Data,Fiji,E6,2008-11-30,-17.32933,178.5923,51.67
2001-2020_HSykes Data,Fiji,E6,2004-04-22,-17.32933,178.5923,41.67
2001-2020_HSykes Data,Fiji,E6,2011-04-22,-17.32933,178.5923,57.5
2001-2020_HSykes Data,Fiji,E6,2007-11-02,-17.32933,178.5923,52.5
2001-2020_HSykes Data,Fiji,E6,2002-02-17,-17.32933,178.5923,27.5
2001-2020_HSykes Data,Fiji,Fish patch,2007-01-08,-18.15967,178.3997,54.38
2001-2020_HSykes Data,Fiji,Fish patch,2008-08-20,-18.15967,178.3997,25.31
2001-2020_HSykes Data,Fiji,Fish patch,2004-06-22,-18.15967,178.3997,47.5
2001-2020_HSykes Data,Fiji,Fish patch,2013-05-11,-18.15967,178.3997,29.38
2001-2020_HSykes Data,Fiji,Fish patch,2002-02-08,-18.15967,178.3997,28.75
2001-2020_HSykes Data,Fiji,GWW,2002-01-07,-16.79817,179.9068333,5
2001-2020_HSykes Data,Fiji,GWW,2006-02-04,-16.79817,179.9068333,37.5
2001-2020_HSykes Data,Fiji,GWW,2007-02-17,-16.79817,179.9068333,40
2001-2020_HSykes Data,Fiji,GWW,2010-02-21,-16.79817,179.9068333,56.88
2001-2020_HSykes Data,Fiji,GWW,2011-02-26,-16.79817,179.9068333,47.5
2001-2020_HSykes Data,Fiji,GWW,2009-02-01,-16.79817,179.9068333,47.5
2001-2020_HSykes Data,Fiji,GWW,2014-02-22,-16.79817,179.9068333,40.63
2001-2020_HSykes Data,Fiji,GWW,2004-01-24,-16.79817,179.9068333,12.5
2001-2020_HSykes Data,Fiji,GWW,2012-03-04,-16.79817,179.9068333,60
2001-2020_HSykes Data,Fiji,GWW,2008-02-24,-16.79817,179.9068333,41.25
2001-2020_HSykes Data,Fiji,GWW,2013-02-18,-16.79817,179.9068333,58.75
2001-2020_HSykes Data,Fiji,GWW,2003-09-08,-16.79817,179.9068333,23.13
2001-2020_HSykes Data,Fiji,WR,2010-06-26,-16.95368,177.32,34.38
2001-2020_HSykes Data,Fiji,WR,2011-06-07,-16.95368,177.32,46.25
2001-2020_HSykes Data,Fiji,WR,2007-11-27,-16.95368,177.32,48.75
2001-2020_HSykes Data,Fiji,WR,2006-09-10,-16.95368,177.32,35
2001-2020_HSykes Data,Fiji,WR,2009-06-10,-16.95368,177.32,39.38
2009-2011_Kubulau,Fiji,C13,2011-03-29,-17.0476,178.9761,39.83
2009-2011_Kubulau,Fiji,C13,2009-04-16,-17.0476,178.9761,44.7
2009-2011_Kubulau,Fiji,C13,2010-05-08,-17.0476,178.9761,52.33
2009-2011_Kubulau,Fiji,C3,2010-05-08,-17.063367,179.020033,58.6
2009-2011_Kubulau,Fiji,C3,2009-04-07,-17.063367,179.020033,60.8
2009-2011_Kubulau,Fiji,C5,2010-05-08,-17.060783,179.0013,59.2
2009-2011_Kubulau,Fiji,C5,2009-04-07,-17.060783,179.0013,48.7
